season,date,home_team,away_team,home_goals,away_goals,result,ht_home_goals,ht_away_goals,ht_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,b365_home,b365_draw,b365_away,time,avg_home,avg_draw,avg_away,b365_over_2_5,b365_under_2_5,avg_over_2_5,avg_under_2_5,asian_handicap_line,avg_ah_home,avg_ah_away
2015/16,2015-08-08,Bournemouth,Aston Villa,0,1,A,0,0,D,M Clattenburg,11,7,2,3,13,13,6,3,3,4,0,0,2.0,3.6,4.0,,,,,,,,,,,
2015/16,2015-08-08,Chelsea,Swansea,2,2,D,2,1,H,M Oliver,11,18,3,10,15,16,4,8,1,3,1,0,1.36,5.0,11.0,,,,,,,,,,,
2015/16,2015-08-08,Everton,Watford,2,2,D,0,1,A,M Jones,10,11,5,5,7,13,8,2,1,2,0,0,1.7,3.9,5.5,,,,,,,,,,,
2015/16,2015-08-08,Leicester,Sunderland,4,2,H,3,0,H,L Mason,19,10,8,5,13,17,6,3,2,4,0,0,1.95,3.5,4.33,,,,,,,,,,,
2015/16,2015-08-08,Man United,Tottenham,1,0,H,1,0,H,J Moss,9,9,1,4,12,12,1,2,2,3,0,0,1.65,4.0,6.0,,,,,,,,,,,
2015/16,2015-08-08,Norwich,Crystal Palace,1,3,A,0,1,A,S Hooper,17,11,6,7,14,20,1,4,1,0,0,0,2.55,3.3,3.0,,,,,,,,,,,
2015/16,2015-08-09,Arsenal,West Ham,0,2,A,0,1,A,M Atkinson,22,8,6,4,12,9,5,4,1,3,0,0,1.29,6.0,12.0,,,,,,,,,,,
2015/16,2015-08-09,Newcastle,Southampton,2,2,D,1,1,D,C Pawson,9,15,4,5,9,12,6,6,2,4,0,0,2.88,3.3,2.7,,,,,,,,,,,
2015/16,2015-08-09,Stoke,Liverpool,0,1,A,0,0,D,A Taylor,7,8,1,3,9,16,3,5,2,4,0,0,3.4,3.4,2.3,,,,,,,,,,,
2015/16,2015-08-10,West Brom,Man City,0,3,A,0,2,A,M Dean,9,19,2,7,12,9,6,6,4,1,0,0,5.75,4.0,1.67,,,,,,,,,,,
2015/16,2015-08-14,Aston Villa,Man United,0,1,A,0,1,A,M Dean,5,9,1,2,14,10,3,5,2,2,0,0,5.5,3.8,1.73,,,,,,,,,,,
2015/16,2015-08-15,Watford,West Brom,0,0,D,0,0,D,P Tierney,16,6,5,0,13,10,2,4,1,2,0,0,2.3,3.4,3.4,,,,,,,,,,,
2015/16,2015-08-15,Tottenham,Stoke,2,2,D,2,0,H,R Madley,13,16,7,7,15,11,4,3,2,2,0,0,1.8,3.75,5.0,,,,,,,,,,,
2015/16,2015-08-15,West Ham,Leicester,1,2,A,0,2,A,A Taylor,10,11,3,6,11,12,8,4,1,3,1,0,2.25,3.5,3.4,,,,,,,,,,,
2015/16,2015-08-15,Sunderland,Norwich,1,3,A,0,2,A,K Friend,6,19,2,6,7,7,6,6,1,2,0,0,2.5,3.3,3.1,,,,,,,,,,,
2015/16,2015-08-15,Southampton,Everton,0,3,A,0,2,A,M Oliver,17,10,4,4,11,10,9,9,4,2,0,0,1.95,3.6,4.33,,,,,,,,,,,
2015/16,2015-08-15,Swansea,Newcastle,2,0,H,1,0,H,M Jones,19,4,6,2,11,8,4,4,2,1,0,1,1.95,3.6,4.33,,,,,,,,,,,
2015/16,2015-08-16,Crystal Palace,Arsenal,1,2,A,1,1,D,L Mason,11,20,4,7,14,12,6,6,1,1,0,0,5.25,3.9,1.73,,,,,,,,,,,
2015/16,2015-08-16,Man City,Chelsea,3,0,H,1,0,H,M Atkinson,18,10,8,3,19,13,5,1,4,2,0,0,2.1,3.5,3.75,,,,,,,,,,,
2015/16,2015-08-17,Liverpool,Bournemouth,1,0,H,1,0,H,C Pawson,18,13,2,2,11,18,6,8,1,4,0,0,1.45,4.75,8.0,,,,,,,,,,,
2015/16,2015-08-22,West Ham,Bournemouth,3,4,A,0,2,A,J Moss,10,15,4,7,8,11,5,4,0,0,1,0,2.38,3.4,3.2,,,,,,,,,,,
2015/16,2015-08-22,Sunderland,Swansea,1,1,D,0,1,A,N Swarbrick,10,20,2,9,16,9,3,4,4,2,0,0,4.0,3.4,2.1,,,,,,,,,,,
2015/16,2015-08-22,Norwich,Stoke,1,1,D,1,1,D,M Dean,21,6,7,1,16,5,9,0,4,1,0,0,2.3,3.3,3.5,,,,,,,,,,,
2015/16,2015-08-22,Leicester,Tottenham,1,1,D,0,0,D,M Atkinson,13,19,2,6,7,14,2,7,1,4,0,0,2.63,3.6,2.75,,,,,,,,,,,
2015/16,2015-08-22,Crystal Palace,Aston Villa,2,1,H,0,0,D,K Stroud,16,11,6,2,12,15,6,4,3,3,0,0,1.85,3.6,4.75,,,,,,,,,,,
2015/16,2015-08-22,Man United,Newcastle,0,0,D,0,0,D,C Pawson,20,7,8,0,15,11,11,5,2,2,0,0,1.36,5.25,10.0,,,,,,,,,,,
2015/16,2015-08-23,Everton,Man City,0,2,A,0,0,D,A Taylor,10,16,1,9,5,7,8,7,0,3,0,0,5.0,4.0,1.73,,,,,,,,,,,
2015/16,2015-08-23,Watford,Southampton,0,0,D,0,0,D,A Marriner,13,14,0,5,10,11,5,2,0,2,0,0,2.8,3.3,2.75,,,,,,,,,,,
2015/16,2015-08-23,West Brom,Chelsea,2,3,A,1,3,A,M Clattenburg,15,15,6,5,9,12,8,7,2,1,0,1,6.5,4.0,1.62,,,,,,,,,,,
2015/16,2015-08-24,Arsenal,Liverpool,0,0,D,0,0,D,M Oliver,19,15,5,8,2,13,7,8,1,4,0,0,1.75,4.0,5.0,,,,,,,,,,,
2015/16,2015-08-29,Newcastle,Arsenal,0,1,A,0,0,D,A Marriner,1,22,0,9,15,8,0,9,6,1,1,0,6.0,4.2,1.62,,,,,,,,,,,
2015/16,2015-08-29,Tottenham,Everton,0,0,D,0,0,D,M Jones,20,8,6,3,20,9,6,2,4,1,0,0,2.0,3.5,4.2,,,,,,,,,,,
2015/16,2015-08-29,Stoke,West Brom,0,1,A,0,1,A,M Oliver,13,15,5,5,4,9,6,5,1,4,2,0,1.95,3.4,4.5,,,,,,,,,,,
2015/16,2015-08-29,Man City,Watford,2,0,H,0,0,D,M Clattenburg,18,7,5,0,9,12,9,3,1,2,0,0,1.2,8.0,15.0,,,,,,,,,,,
2015/16,2015-08-29,Bournemouth,Leicester,1,1,D,1,0,H,N Swarbrick,5,4,2,2,9,19,4,4,2,4,0,0,2.2,3.6,3.4,,,,,,,,,,,
2015/16,2015-08-29,Chelsea,Crystal Palace,1,2,A,0,0,D,C Pawson,26,13,9,6,9,15,7,7,1,1,0,0,1.36,5.0,11.0,,,,,,,,,,,
2015/16,2015-08-29,Liverpool,West Ham,0,3,A,0,2,A,K Friend,13,12,1,5,17,11,5,7,3,1,1,1,1.36,5.5,9.0,,,,,,,,,,,
2015/16,2015-08-29,Aston Villa,Sunderland,2,2,D,2,1,H,R Madley,21,7,6,3,10,14,5,4,2,1,0,0,1.91,3.5,4.75,,,,,,,,,,,
2015/16,2015-08-30,Southampton,Norwich,3,0,H,1,0,H,J Moss,23,6,8,1,4,12,6,4,0,0,0,1,2.05,3.5,4.0,,,,,,,,,,,
2015/16,2015-08-30,Swansea,Man United,2,1,H,0,0,D,M Atkinson,9,11,4,4,6,15,0,1,2,2,0,0,3.6,3.3,2.25,,,,,,,,,,,
2015/16,2015-09-12,Arsenal,Stoke,2,0,H,1,0,H,J Moss,29,9,12,4,6,13,13,1,1,1,0,0,1.29,6.0,12.0,,,,,,,,,,,
2015/16,2015-09-12,Crystal Palace,Man City,0,1,A,0,0,D,M Jones,10,21,2,7,13,13,4,4,2,3,0,0,5.5,4.2,1.67,,,,,,,,,,,
2015/16,2015-09-12,Everton,Chelsea,3,1,H,2,1,H,A Marriner,14,15,9,2,12,12,7,14,2,2,0,0,4.0,3.6,2.0,,,,,,,,,,,
2015/16,2015-09-12,Man United,Liverpool,3,1,H,0,0,D,M Oliver,9,8,3,4,6,11,4,4,1,2,0,0,2.0,3.4,4.33,,,,,,,,,,,
2015/16,2015-09-12,Norwich,Bournemouth,3,1,H,1,0,H,M Atkinson,12,7,4,2,10,11,4,4,2,3,0,0,2.4,3.4,3.2,,,,,,,,,,,
2015/16,2015-09-12,Watford,Swansea,1,0,H,0,0,D,R Madley,17,8,6,3,11,14,1,3,1,1,1,0,2.75,3.4,2.75,,,,,,,,,,,
2015/16,2015-09-12,West Brom,Southampton,0,0,D,0,0,D,S Attwell,8,14,1,4,5,5,4,5,1,0,0,0,3.2,3.2,2.5,,,,,,,,,,,
2015/16,2015-09-13,Sunderland,Tottenham,0,1,A,0,0,D,C Pawson,12,15,2,4,11,12,6,8,2,1,0,0,4.33,3.6,1.95,,,,,,,,,,,
2015/16,2015-09-13,Leicester,Aston Villa,3,2,H,0,1,A,M Dean,21,11,6,4,8,13,4,5,2,1,0,0,1.91,3.75,4.33,,,,,,,,,,,
2015/16,2015-09-14,West Ham,Newcastle,2,0,H,1,0,H,A Taylor,17,14,3,4,8,11,6,7,0,2,0,0,2.25,3.5,3.4,,,,,,,,,,,
2015/16,2015-09-19,Aston Villa,West Brom,0,1,A,0,1,A,M Atkinson,13,11,3,6,10,11,2,7,2,3,0,0,2.3,3.25,3.5,,,,,,,,,,,
2015/16,2015-09-19,Bournemouth,Sunderland,2,0,H,2,0,H,K Friend,15,9,5,2,14,15,7,3,2,4,0,1,1.7,4.0,5.5,,,,,,,,,,,
2015/16,2015-09-19,Chelsea,Arsenal,2,0,H,0,0,D,M Dean,22,9,7,2,12,11,5,5,3,1,0,2,2.45,3.5,3.0,,,,,,,,,,,
2015/16,2015-09-19,Man City,West Ham,1,2,A,1,2,A,R Madley,27,6,8,3,10,7,16,3,1,2,0,0,1.29,6.5,11.0,,,,,,,,,,,
2015/16,2015-09-19,Newcastle,Watford,1,2,A,0,2,A,R East,15,13,5,4,8,12,5,5,1,2,0,0,2.5,3.3,3.1,,,,,,,,,,,
2015/16,2015-09-19,Stoke,Leicester,2,2,D,2,0,H,A Marriner,11,12,4,5,7,12,3,4,1,4,0,0,2.5,3.4,3.0,,,,,,,,,,,
2015/16,2015-09-19,Swansea,Everton,0,0,D,0,0,D,S Attwell,12,17,3,2,12,11,2,4,2,2,0,1,2.3,3.4,3.4,,,,,,,,,,,
2015/16,2015-09-20,Liverpool,Norwich,1,1,D,0,0,D,A Taylor,23,7,7,2,4,13,6,2,1,2,0,0,1.67,4.0,5.75,,,,,,,,,,,
2015/16,2015-09-20,Southampton,Man United,2,3,A,1,1,D,M Clattenburg,15,10,8,3,6,13,5,5,2,0,0,0,3.1,3.3,2.5,,,,,,,,,,,
2015/16,2015-09-20,Tottenham,Crystal Palace,1,0,H,0,0,D,M Oliver,22,12,6,4,9,11,6,5,1,2,0,0,2.0,3.6,4.0,,,,,,,,,,,
2015/16,2015-09-26,Stoke,Bournemouth,2,1,H,1,0,H,L Mason,8,11,5,6,13,11,3,7,1,0,0,0,2.55,3.3,3.0,,,,,,,,,,,
2015/16,2015-09-26,West Ham,Norwich,2,2,D,1,1,D,M Dean,19,16,7,7,7,17,7,5,0,0,0,0,2.25,3.5,3.4,,,,,,,,,,,
2015/16,2015-09-26,Southampton,Swansea,3,1,H,1,0,H,R East,18,11,7,4,18,14,4,3,3,1,0,0,2.05,3.4,4.2,,,,,,,,,,,
2015/16,2015-09-26,Tottenham,Man City,4,1,H,1,1,D,M Clattenburg,15,22,8,8,17,6,5,9,5,1,0,0,4.2,3.8,1.91,,,,,,,,,,,
2015/16,2015-09-26,Man United,Sunderland,3,0,H,1,0,H,M Jones,12,9,7,4,12,17,5,2,0,3,0,0,1.2,7.5,16.0,,,,,,,,,,,
2015/16,2015-09-26,Leicester,Arsenal,2,5,A,1,2,A,C Pawson,16,26,7,12,9,12,6,5,1,1,0,0,4.5,4.0,1.8,,,,,,,,,,,
2015/16,2015-09-26,Newcastle,Chelsea,2,2,D,1,0,H,M Atkinson,11,16,5,4,12,15,4,6,1,2,0,0,6.0,4.2,1.62,,,,,,,,,,,
2015/16,2015-09-26,Liverpool,Aston Villa,3,2,H,1,0,H,J Moss,21,10,12,4,8,13,11,1,0,0,0,0,1.53,4.33,7.0,,,,,,,,,,,
2015/16,2015-09-27,Watford,Crystal Palace,0,1,A,0,0,D,A Taylor,15,16,2,3,17,22,6,4,4,4,0,0,2.5,3.3,3.1,,,,,,,,,,,
2015/16,2015-09-28,West Brom,Everton,2,3,A,1,0,H,R Madley,9,12,4,4,9,8,6,4,0,3,0,0,3.1,3.3,2.5,,,,,,,,,,,
2015/16,2015-10-03,Sunderland,West Ham,2,2,D,2,1,H,N Swarbrick,12,20,3,6,14,11,1,8,2,4,1,0,3.2,3.4,2.4,,,,,,,,,,,
2015/16,2015-10-03,Man City,Newcastle,6,1,H,1,1,D,K Friend,23,6,11,4,13,8,6,3,3,1,0,0,1.25,7.0,13.0,,,,,,,,,,,
2015/16,2015-10-03,Crystal Palace,West Brom,2,0,H,0,0,D,J Moss,21,7,8,2,14,13,8,3,3,3,0,0,1.83,3.6,5.0,,,,,,,,,,,
2015/16,2015-10-03,Norwich,Leicester,1,2,A,0,1,A,M Clattenburg,17,16,2,5,4,4,16,8,0,1,0,0,2.3,3.5,3.3,,,,,,,,,,,
2015/16,2015-10-03,Bournemouth,Watford,1,1,D,1,1,D,M Oliver,12,11,6,2,8,13,5,3,1,1,0,0,2.1,3.5,3.8,,,,,,,,,,,
2015/16,2015-10-03,Aston Villa,Stoke,0,1,A,0,0,D,M Jones,13,12,2,5,12,12,9,5,1,0,0,0,2.5,3.3,3.1,,,,,,,,,,,
2015/16,2015-10-03,Chelsea,Southampton,1,3,A,1,1,D,R Madley,10,13,3,5,14,14,4,6,2,5,0,0,1.83,3.7,4.8,,,,,,,,,,,
2015/16,2015-10-04,Arsenal,Man United,3,0,H,3,0,H,A Taylor,12,9,5,5,8,17,3,6,1,3,0,0,2.0,3.8,3.8,,,,,,,,,,,
2015/16,2015-10-04,Everton,Liverpool,1,1,D,1,1,D,M Atkinson,14,13,4,4,10,19,5,11,3,3,0,0,2.7,3.4,2.8,,,,,,,,,,,
2015/16,2015-10-04,Swansea,Tottenham,2,2,D,2,1,H,M Dean,11,19,2,11,8,19,5,6,1,4,0,0,2.75,3.25,2.8,,,,,,,,,,,
2015/16,2015-10-17,Tottenham,Liverpool,0,0,D,0,0,D,C Pawson,13,12,4,3,15,11,8,6,1,2,0,0,2.5,3.5,3.0,,,,,,,,,,,
2015/16,2015-10-17,West Brom,Sunderland,1,0,H,0,0,D,M Atkinson,8,9,1,2,12,13,1,5,2,2,0,0,2.05,3.4,4.2,,,,,,,,,,,
