zone_label,zone_start_yards,possessions,shots,total_xg,shot_probability,avg_xg_per_possession,avg_xg_per_shot
0-10y,0.0,6779,1171,125.4527979221,0.17273934208585337,0.018506092037483404,0.10713304690187873
10-20y,10.0,5680,666,95.3091290709,0.11725352112676056,0.01677977624487676,0.14310680040675675
20-30y,20.0,6201,786,75.0808218472,0.12675374939525882,0.012107857095178197,0.09552267410585241
30-40y,30.0,6935,779,74.2195989452,0.11232876712328767,0.010702177209113194,0.09527548003234917
40-50y,40.0,7402,840,84.2706372452,0.11348284247500676,0.011384846966387464,0.10032218719666668
50-60y,50.0,7933,839,85.1231798767,0.10576074624984243,0.010730263440905078,0.10145790211764004
60-70y,60.0,6536,800,76.75422332389999,0.12239902080783353,0.011743302222138922,0.095942779154875
70-80y,70.0,5661,809,76.5634814864,0.1429076134958488,0.013524727342589648,0.09463965573102595
80-90y,80.0,4435,642,64.6476022452,0.1447576099210823,0.014576685962841038,0.10069719975887852
90-100y,90.0,4333,521,85.48491654669999,0.12024001846295869,0.019728806034318022,0.16407853463857963
100-110y,100.0,3268,802,88.2992326381,0.24541003671970624,0.02701934903246634,0.11009879381309226
