game_date,game_pk,at_bat_number,inning,inning_topbot,batter,pitcher,team,pitcher_team,events,outs_before,on_1b,on_2b,on_3b,runs_scored,outs_after,on_1b_after,on_2b_after,on_3b_after
2026-07-29,822702,1,1,Top,682818,641793,TOR,WSH,field_out,0,0,0,0,0,1,0,0,0
2026-07-29,822702,2,1,Top,664770,641793,TOR,WSH,walk,1,0,0,0,0,1,1,0,0
2026-07-29,822702,3,1,Top,672960,641793,TOR,WSH,single,1,1,0,0,0,1,1,0,1
2026-07-29,822702,4,1,Top,543807,641793,TOR,WSH,strikeout_double_play,1,1,0,1,0,3,0,0,0
2026-07-29,822702,5,1,Bot,695578,702056,WSH,TOR,single,0,0,0,0,0,0,1,0,0
2026-07-29,822702,6,1,Bot,671277,702056,WSH,TOR,field_out,0,1,0,0,0,1,1,0,0
2026-07-29,822702,7,1,Bot,691781,702056,WSH,TOR,field_out,1,1,0,0,0,2,1,0,0
2026-07-29,822702,8,1,Bot,682928,702056,WSH,TOR,strikeout,2,1,0,0,0,3,0,0,0
2026-07-29,822702,9,2,Top,672386,641793,TOR,WSH,field_out,0,0,0,0,0,1,0,0,0
2026-07-29,822702,10,2,Top,662139,641793,TOR,WSH,field_out,1,0,0,0,0,2,0,0,0
2026-07-29,822702,11,2,Top,676391,641793,TOR,WSH,field_out,2,0,0,0,0,3,0,0,0
2026-07-29,822702,12,2,Bot,695670,702056,WSH,TOR,field_out,0,0,0,0,0,1,0,0,0
2026-07-29,822702,13,2,Bot,695734,702056,WSH,TOR,field_out,1,0,0,0,0,2,0,0,0
2026-07-29,822702,14,2,Bot,696285,702056,WSH,TOR,walk,2,0,0,0,0,2,1,0,0
2026-07-29,822702,15,2,Bot,678391,702056,WSH,TOR,field_out,2,1,0,0,0,3,0,0,0
2026-07-29,822702,16,3,Top,665926,641793,TOR,WSH,field_out,0,0,0,0,0,1,0,0,0
2026-07-29,822702,17,3,Top,676914,641793,TOR,WSH,field_out,1,0,0,0,0,2,0,0,0
2026-07-29,822702,18,3,Top,682818,641793,TOR,WSH,single,2,0,0,0,0,2,1,0,0
2026-07-29,822702,19,3,Top,664770,641793,TOR,WSH,force_out,2,1,0,0,0,3,0,0,0
2026-07-29,822702,20,3,Bot,683083,702056,WSH,TOR,field_out,0,0,0,0,0,1,0,0,0
2026-07-29,822702,21,3,Bot,695578,702056,WSH,TOR,walk,1,0,0,0,0,1,1,0,0
2026-07-29,822702,22,3,Bot,671277,702056,WSH,TOR,field_out,1,1,0,0,0,2,1,0,0
2026-07-29,822702,23,3,Bot,691781,702056,WSH,TOR,strikeout,2,1,0,0,0,3,0,0,0
2026-07-29,822702,24,4,Top,672960,641793,TOR,WSH,field_out,0,0,0,0,0,1,0,0,0
2026-07-29,822702,25,4,Top,543807,641793,TOR,WSH,field_out,1,0,0,0,0,2,0,0,0
2026-07-29,822702,26,4,Top,672386,641793,TOR,WSH,single,2,0,0,0,0,2,1,0,0
2026-07-29,822702,27,4,Top,662139,641793,TOR,WSH,double,2,1,0,0,0,2,0,1,1
2026-07-29,822702,28,4,Top,676391,641793,TOR,WSH,field_out,2,0,1,1,0,3,0,0,0
2026-07-29,822702,29,4,Bot,682928,702056,WSH,TOR,walk,0,0,0,0,0,0,1,0,0
2026-07-29,822702,30,4,Bot,695670,702056,WSH,TOR,field_out,0,1,0,0,0,1,0,1,0
2026-07-29,822702,31,4,Bot,695734,702056,WSH,TOR,field_out,1,0,1,0,0,2,0,0,1
2026-07-29,822702,32,4,Bot,696285,702056,WSH,TOR,double,2,0,0,1,1,2,0,1,0
2026-07-29,822702,33,4,Bot,678391,702056,WSH,TOR,field_out,2,0,1,0,0,3,0,0,0
2026-07-29,822702,34,5,Top,665926,641793,TOR,WSH,field_out,0,0,0,0,0,1,0,0,0
2026-07-29,822702,35,5,Top,676914,641793,TOR,WSH,walk,1,0,0,0,0,1,1,0,0
2026-07-29,822702,36,5,Top,682818,641793,TOR,WSH,strikeout,1,1,0,0,0,2,1,0,0
2026-07-29,822702,37,5,Top,664770,641793,TOR,WSH,walk,2,1,0,0,0,2,1,1,0
2026-07-29,822702,38,5,Top,672960,668820,TOR,WSH,field_out,2,1,1,0,0,3,0,0,0
2026-07-29,822702,39,5,Bot,683083,702056,WSH,TOR,strikeout,0,0,0,0,0,1,0,0,0
2026-07-29,822702,40,5,Bot,695578,702056,WSH,TOR,field_out,1,0,0,0,0,2,0,0,0
2026-07-29,822702,41,5,Bot,671277,702056,WSH,TOR,field_out,2,0,0,0,0,3,0,0,0
2026-07-29,822702,42,6,Top,543807,668820,TOR,WSH,walk,0,0,0,0,0,0,1,0,0
2026-07-29,822702,43,6,Top,672386,668820,TOR,WSH,field_out,0,1,0,0,0,1,0,1,0
2026-07-29,822702,44,6,Top,662139,668820,TOR,WSH,field_out,1,0,1,0,0,2,0,1,0
2026-07-29,822702,45,6,Top,676391,668820,TOR,WSH,double,2,0,1,0,1,2,0,1,0
2026-07-29,822702,46,6,Top,665926,668820,TOR,WSH,hit_by_pitch,2,0,1,0,0,2,1,1,0
2026-07-29,822702,47,6,Top,676914,678868,TOR,WSH,field_error,2,1,1,0,0,2,1,1,1
2026-07-29,822702,48,6,Top,682818,678868,TOR,WSH,field_out,2,1,1,1,0,3,0,0,0
2026-07-29,822702,49,6,Bot,691781,702056,WSH,TOR,field_out,0,0,0,0,0,1,0,0,0
2026-07-29,822702,50,6,Bot,682928,702056,WSH,TOR,field_out,1,0,0,0,0,2,0,0,0
2026-07-29,822702,51,6,Bot,695670,702056,WSH,TOR,field_out,2,0,0,0,0,3,0,0,0
2026-07-29,822702,52,7,Top,664770,687377,TOR,WSH,field_out,0,0,0,0,0,1,0,0,0
2026-07-29,822702,53,7,Top,672960,687377,TOR,WSH,single,1,0,0,0,0,1,1,0,0
2026-07-29,822702,54,7,Top,543807,687377,TOR,WSH,strikeout,1,1,0,0,0,2,1,0,0
2026-07-29,822702,55,7,Top,672386,687377,TOR,WSH,single,2,1,0,0,0,2,1,0,1
2026-07-29,822702,56,7,Top,662139,687377,TOR,WSH,single,2,1,0,1,1,2,1,1,0
2026-07-29,822702,57,7,Top,676391,687377,TOR,WSH,field_out,2,1,1,0,0,3,0,0,0
2026-07-29,822702,58,7,Bot,695734,702056,WSH,TOR,single,0,0,0,0,0,0,1,0,0
2026-07-29,822702,59,7,Bot,696285,702056,WSH,TOR,sac_bunt,0,1,0,0,0,1,0,1,0
2026-07-29,822702,60,7,Bot,678391,702056,WSH,TOR,strikeout,1,0,1,0,0,2,0,1,0
2026-07-29,822702,61,7,Bot,683083,643511,WSH,TOR,field_out,2,0,1,0,0,3,0,0,0
2026-07-29,822702,62,8,Top,665926,687606,TOR,WSH,field_out,0,0,0,0,0,1,0,0,0
2026-07-29,822702,63,8,Top,676914,687606,TOR,WSH,double,1,0,0,0,0,1,0,1,0
2026-07-29,822702,64,8,Top,682818,687606,TOR,WSH,single,1,0,1,0,0,1,0,1,1
2026-07-29,822702,65,8,Top,664770,687606,TOR,WSH,strikeout,1,0,1,1,0,2,0,1,1
2026-07-29,822702,66,8,Top,672960,687606,TOR,WSH,double,2,0,1,1,2,2,0,1,0
2026-07-29,822702,67,8,Top,543807,687606,TOR,WSH,single,2,0,1,0,1,2,1,0,0
2026-07-29,822702,68,8,Top,672386,592866,TOR,WSH,strikeout,2,1,0,0,0,3,0,0,0
2026-07-29,822702,69,8,Bot,695578,643511,WSH,TOR,double,0,0,0,0,0,0,0,1,0
2026-07-29,822702,70,8,Bot,671277,643511,WSH,TOR,single,0,0,1,0,1,0,1,0,0
2026-07-29,822702,71,8,Bot,677588,643511,WSH,TOR,walk,0,1,0,0,0,0,1,1,0
2026-07-29,822702,72,8,Bot,682928,686973,WSH,TOR,force_out,0,1,1,0,0,1,1,1,0
