team_abbreviation,conference,points,elimination_day,wins_at_elimination,final_wins,final_losses,final_record
SAC,West,8,2026-03-01,14.0,22,60,22-60
NOP,West,6,2026-03-06,20.0,26,56,26-56
DAL,West,5,2026-03-10,21.0,26,56,26-56
IND,East,4,2026-03-06,15.0,19,63,19-63
BKN,East,4,2026-03-08,16.0,20,62,20-62
POR,West,4,2026-03-29,38.0,42,40,42-40
UTA,West,3,2026-03-07,19.0,22,60,22-60
MIL,East,3,2026-03-25,29.0,32,50,32-50
LAC,West,3,2026-03-31,39.0,42,40,42-40
MEM,West,2,2026-03-13,23.0,25,57,25-57
CHI,East,2,2026-03-25,29.0,31,51,31-51
MIA,East,2,2026-04-09,41.0,43,39,43-39
PHX,West,2,2026-04-07,43.0,45,37,45-37
WAS,East,1,2026-03-08,16.0,17,65,17-65
GSW,West,1,2026-03-29,36.0,37,45,37-45
CHA,East,1,2026-04-10,43.0,44,38,44-38
ORL,East,0,2026-04-12,45.0,45,37,45-37
PHI,East,0,2026-04-12,45.0,45,37,45-37
ATL,East,0,,,46,36,46-36
TOR,East,0,,,46,36,46-36
MIN,West,0,,,49,33,49-33
CLE,East,0,,,52,30,52-30
HOU,West,0,,,52,30,52-30
LAL,West,0,,,53,29,53-29
NYK,East,0,,,53,29,53-29
DEN,West,0,,,54,28,54-28
BOS,East,0,,,56,26,56-26
DET,East,0,,,60,22,60-22
SAS,West,0,,,62,20,62-20
OKC,West,0,,,64,18,64-18
